name,mapping
mumbai_city/Q2341660,mumbai
mumbai_suburban/Q2085374,mumbai
konkan_division/Q6268840,mumbai
central_delhi/Q107941,delhi
east_delhi/Q107960,delhi
north_east_delhi/Q429329,delhi
north_delhi/Q693367,delhi
north_west_delhi/Q766125,delhi
west_delhi/Q549807,delhi
new_delhi/Q987,delhi
shahdara/Q83486,delhi
south_east_delhi/Q25553535,delhi
south_west_delhi/Q2379189,delhi
south_delhi/Q2061938,delhi
north_goa/Q108234,goa
south_goa/Q108244,goa
adilabad/Q15211,telangana
bhadradri_kothagudem/Q28169767,telangana
hyderabad/Q15340,telangana
jagtial/Q28169780,telangana
jangaon/Q28170170,telangana
jayashankar_bhupalapally/Q28169775,telangana
jogulamba_gadwal/Q27897618,telangana
kamareddy/Q27956125,telangana
karimnagar/Q15373,telangana
khammam/Q15371,telangana
komram_bheem/Q28170184,telangana
mahabubabad/Q28169761,telangana
mahabubnagar/Q15380,telangana
mancherial_district/Q28169747,telangana
medak/Q15386,telangana
medchalâ€“malkajgiri/Q27614841,telangana
nagarkurnool/Q28169773,telangana
nalgonda/Q15384,telangana
nirmal/Q28169750,telangana
nizamabad/Q15391,telangana
peddapalli/Q27614797,telangana
rajanna_sircilla/Q28172781,telangana
rangareddy/Q15388,telangana
sangareddy/Q28169753,telangana
siddipet/Q28169756,telangana
suryapet/Q28169770,telangana
vikarabad/Q28170173,telangana
wanaparthy/Q28172504,telangana
warangal_rural/Q28169759,telangana
warangal_urban/Q213077,telangana
mulugu/Q61746006,telangana
narayanpur/Q2322000,telangana
yadadri_bhuvanagiri/Q28169764,telangana
baksa/Q2360266,assam
barpeta/Q41249,assam
bongaigaon/Q42197,assam
cachar/Q42209,assam
charaideo/Q24039029,assam
chirang/Q2574898,assam
darrang/Q42461,assam
dhemaji/Q42473,assam
dhubri/Q42485,assam
dibrugarh/Q42479,assam
dima_hasao_district/Q42774,assam
goalpara/Q42522,assam
golaghat/Q42517,assam
hailakandi/Q42505,assam
hojai/Q24699407,assam
jorhat/Q42611,assam
kamrup/Q2247441,assam
kamrup_metropolitan/Q2464674,assam
east_karbi_anglong/Q42558,assam
karimganj/Q42542,assam
kokrajhar/Q42618,assam
lakhimpur/Q42743,assam
majuli/Q28110729,assam
nagaon/Q42686,assam
nalbari/Q42779,assam
sivasagar/Q42768,assam
sonitpur/Q42765,assam
south_salmara-mankachar/Q24907599,assam
tinsukia/Q42756,assam
udalguri/Q321998,assam
west_karbi_anglong/Q24949218,assam
bishwanath/Q28110722,assam
marigaon/Q42737,assam